nombre,fecha,hora,descripcion,publico
Taller de Creación de Personajes,2026-08-11,16:30,Ejercicios prácticos para crear personajes y desarrollar sus motivaciones e historias.,Jóvenes y adultos
Taller de Poesía Cotidiana,2026-08-22,12:00,Actividad de escritura para convertir experiencias diarias en poemas breves.,Jóvenes y adultos
Círculo de Lectura Familiar,2026-08-26,17:00,Lectura compartida de un cuento y diálogo entre niñas niños y personas cuidadoras.,Familias
Encuentro con Autor Local,2026-08-29,18:00,Charla con un escritor de la comunidad sobre su proceso creativo y sus libros.,General
Lectura Compartida para Personas Mayores,2026-08-31,11:30,Sesión tranquila de lectura y conversación sobre cuentos y recuerdos personales.,Personas mayores
Cuentos de México para Niñas y Niños,2026-09-03,17:00,Lectura de relatos infantiles inspirados en distintas regiones y tradiciones de México.,Infantil (5 a 10 años)
Taller de Relato Histórico,2026-09-05,12:00,Introducción a la escritura de relatos basados en acontecimientos y personajes históricos.,Jóvenes y adultos
Club de Lectura Juvenil,2026-09-09,17:30,Diálogo sobre una novela juvenil mexicana seleccionada por el grupo.,Jóvenes (13 a 17 años)
Lectura y Conversación para Personas Mayores,2026-09-19,11:00,Lectura de cuentos breves seguida de una conversación guiada.,Personas mayores
Intercambio de Recomendaciones Literarias,2026-09-25,18:00,Encuentro para compartir libros favoritos y descubrir nuevas lecturas.,General
Maratón de Lectura Familiar,2026-09-29,16:30,Jornada de lectura compartida con cuentos breves para distintas edades.,Familias
Hora del Cuento: Historias de Otoño,2026-10-02,17:00,Lectura en voz alta de cuentos sobre cambios estaciones y aventuras otoñales.,Infantil (4 a 8 años)
Taller de Escritura de Misterio,2026-10-06,17:30,Ejercicios para construir pistas personajes y finales sorprendentes.,Jóvenes y adultos
Taller de Finales Alternativos,2026-10-08,18:00,Actividad de escritura para imaginar nuevos finales de cuentos conocidos.,Jóvenes y adultos
Club de Lectura Juvenil,2026-10-10,12:00,Conversación sobre una novela de misterio seleccionada por las y los participantes.,Jóvenes (13 a 17 años)
Lecturas sobre Diversidad Cultural,2026-10-13,17:00,Selección de cuentos que promueven el respeto por distintas culturas y formas de vida.,Familias
Club de Lectura para Adultos,2026-10-17,18:00,Análisis colectivo de una novela latinoamericana elegida para el mes.,Adultos
Taller para Escribir Leyendas,2026-10-21,16:30,Actividad para conocer la estructura de las leyendas y crear una historia propia.,Infantil (9 a 12 años)
Lectura de Cuentos Latinoamericanos,2026-10-24,12:00,Sesión de lectura y conversación sobre cuentos breves de autores latinoamericanos.,Adultos
Noche de Leyendas Mexicanas,2026-10-27,18:30,Lectura dramatizada de leyendas mexicanas adaptadas para público general.,General
Cuentos de Misterio para Familias,2026-10-30,17:30,Lectura de relatos de misterio adecuados para compartir en familia.,Familias
